ProdId,SaledQte,PurchasedQte,diff
1037,2.013192,13.02521,11.012018
1039,1.082802,2.308641,1.2258390000000001
1043,1.008928,1.597222,0.5882939999999999
1044,1.195652,7.931818,6.736166
1045,1.0,1.146341,0.14634100000000005
1046,1.086956,4.225806,3.1388500000000006
1048,1.035087,1.395348,0.36026099999999994
1049,1.060606,1.60606,0.5454540000000001
1050,1.0,1.0,0.0
1051,2.798507,27.214285,24.415778
1052,1.189189,11.583333,10.394143999999999
1055,2.583333,12.5,9.916667
1056,1.384615,3.2,1.8153850000000002
1057,2.216216,9.25,7.033784
1058,1.0,2.8,1.7999999999999998
1059,1.268595,5.574074,4.305479
1060,1.068292,3.362318,2.294026
1061,1.041095,2.638888,1.597793
1062,1.158415,1.820895,0.66248
1063,1.12987,1.852631,0.722761
1064,1.0,1.045454,0.045454000000000105
1067,1.3297783763171098,1.0,-0.3297783763171098
1068,1.032258,1.09375,0.0614920000000001
1077,1.173913,2.877049,1.703136
1080,1.294736,7.56923,6.274494
1082,4.511131,55.666666,51.155535
1094,1.142857,1.380952,0.23809499999999995
1096,1.04816,17.258064,16.209904
1097,1.025568,5.041666,4.016098
1104,1.022727,1.289473,0.26674600000000015
1108,1.198347,3.923076,2.724729
1110,1.007633,1.123966,0.11633300000000002
1111,1.0,1.363636,0.36363600000000007
1115,1.333333,2.37931,1.0459769999999997
1116,1.412332,27.605633,26.193301
1119,1.18552,7.063636,5.878116
1121,1.039156,3.784946,2.7457900000000004
1122,1.0,1.0,0.0
1123,1.0,2.0,1.0
1129,1.908256,6.617647,4.709391
1134,1.079772,5.728571,4.6487989999999995
1139,2.425925,22.454545,20.02862
1141,1.4,1.833333,0.4333330000000002
1147,1.0,1.26415,0.2641500000000001
1148,1.025641,1.615384,0.5897429999999999
1150,1.090909,1.083333,-0.007575999999999805
1156,1.403314,14.157894,12.75458
1158,1.056537,3.344444,2.287907
1160,1.269911,2.94,1.670089
1162,1.275862,2.466666,1.190804
1166,3.682926,11.384615,7.701689
1168,1.138888,2.73913,1.600242
1170,2.477611,15.454545,12.976934
1171,1.083333,3.983606,2.900273
1172,1.111405,4.166666,3.0552610000000002
1174,1.032967,3.507246,2.474279
1175,1.0,3.08,2.08
1177,1.116385,10.189189,9.072804000000001
1185,1.362637,4.402298,3.0396609999999997
1186,1.116564,2.186046,1.0694820000000003
1187,1.073469,2.717171,1.643702
1188,1.070312,1.881578,0.811266
1190,1.246753,2.714285,1.4675319999999998
1191,1.0,2.0,1.0
1192,1.085714,3.382978,2.297264
1193,1.204301,3.342857,2.138556
1195,1.444444,1.444444,0.0
1196,1.698412,1.881355,0.18294300000000008
1197,2.116666,10.857142,8.740476
1199,1.117647,1.964285,0.846638
1200,1.09375,1.151515,0.057765000000000066
1205,1.134408,2.10891,0.9745019999999998
1206,1.053412,3.25,2.196588
1210,1.05037,3.908108,2.857738
1211,1.020408,3.780487,2.760079
1217,1.0,1.130434,0.13043399999999994
1244,1.5,1.0,-0.5
