ProdId,QuantityAVG
6756,7.500000
449,7.500000
5200,7.459770
3968,7.392857
5084,7.390243
4620,7.369230
2304,7.367816
5633,7.333333
4223,7.319587
1886,7.315789
3091,7.306122
2069,7.292035
3253,7.278145
2817,7.261538
1868,7.235294
6385,7.183673
529,7.175000
3560,7.102803
460,7.095238
5811,7.071428
6724,7.066666
1119,7.063636
205,7.000000
6654,7.000000
5511,7.000000
6116,6.967741
4811,6.939393
5756,6.920000
3966,6.905454
6942,6.857142
3907,6.855172
4238,6.833333
4647,6.826666
3035,6.800000
4166,6.772727
2733,6.761904
2130,6.750000
465,6.712643
3745,6.628571
1129,6.617647
6148,6.615384
7187,6.600000
267,6.582089
6046,6.517241
3360,6.509615
309,6.472222
789,6.471074
6058,6.450000
5697,6.428571
5851,6.416666
4305,6.400000
3686,6.384615
4303,6.304347
6218,6.125000
1955,6.072289
3412,6.065217
4981,6.064516
5589,6.034482
2729,6.019230
1999,6.000000
5030,6.000000
5631,6.000000
3012,6.000000
5691,6.000000
3444,5.965517
3411,5.939597
260,5.915032
3564,5.897727
7128,5.846153
3028,5.840909
4938,5.838709
5729,5.830188
2949,5.808988
5712,5.785714
5321,5.769230
1460,5.761363
1134,5.728571
273,5.727272
5219,5.720000
5516,5.702702
630,5.700000
212,5.687500
6342,5.684210
1566,5.682926
6558,5.666666
3576,5.657894
3931,5.654545
2147,5.615384
2146,5.611510
786,5.605633
7510,5.600000
4933,5.586666
2371,5.585585
1059,5.574074
2370,5.528846
2154,5.527131
2715,5.510204
5214,5.509090
6121,5.500000
6316,5.500000
3180,5.481751
2573,5.469387
146,5.434782
2687,5.403100
6653,5.368421
1706,5.363636
2373,5.333333
3018,5.307692
473,5.293478
1260,5.281250
604,5.273809
7447,5.272727
5384,5.263157
7295,5.230769
312,5.219512
4421,5.207547
6278,5.200000
232,5.195945
363,5.192307
788,5.187500
6257,5.166666
1493,5.162162
2390,5.151515
6827,5.148148
6229,5.137254
2115,5.133333
254,5.131578
4040,5.128205
6396,5.115384
2820,5.111111
7361,5.100000
280,5.085106
4982,5.067796
1509,5.057142
1952,5.046808
2148,5.045871
1097,5.041666
169,5.035294
305,5.008000
6723,5.000000
5672,5.000000
4900,5.000000
7351,5.000000
7620,5.000000
7621,5.000000
5302,5.000000
1321,5.000000
6071,4.976744
3252,4.951219
1449,4.882352
7159,4.875000
5611,4.863013
6376,4.861538
2131,4.858823
4937,4.854838
7306,4.800000
213,4.800000
3896,4.800000
6454,4.775000
5089,4.769230
1463,4.765363
461,4.750000
6277,4.750000
2575,4.738095
547,4.698924
362,4.695364
4792,4.693181
2716,4.689655
6323,4.677966
2486,4.677777
2366,4.675000
3016,4.666666
